,es_word,es_sim,ro_word,ro_sim,it_word,it_sim,pt_word,pt_sim,fr_word,fr_sim,label
arid,árido,0.7297627607245146,arid,0.6639515366970096,arido,0.7180759026138304,árido,0.7399918958251298,aride,0.7403488619407739,0.0
arsenic,arsénico,0.7359791620620983,arsenic,0.5073090743886917,arsenico,0.7252042732872912,arsênico,0.6537840123043526,arsenic,0.6875989234336357,-1.0
art,arte,0.8159923496391925,artă,0.7728900458867377,arte,0.7403407096670018,arte,0.8159842976719278,art,0.8128675649059888,1.0
article,artículo,0.781817887939111,articol,0.7418801240381797,articolo,0.5954869979216059,artigo,0.7933886219315558,article,0.7719071530603308,1.0
artifice,artificio,0.6824856187446212,artificiu,0.503075429180569,artificio,0.5771880917813256,artifício,0.44531604159737886,artifice,0.4815107989274929,0.0
ass,asno,0.4735303929122658,asin,0.2211957114595264,asino,0.4891868693105048,asno,0.44853841092926755,âne,0.41679496748584305,1.0
astrology,astrología,0.7629612883389879,astrologie,0.6825050169560173,astrologia,0.7790534017135734,astrologia,0.7723885774666643,astrologie,0.7935490643595392,0.0
astronomy,astronomía,0.869386259001814,astronomie,0.7777172266220265,astronomia,0.8417968167107539,astronomia,0.8673785784222294,astronomie,0.8720250590904256,1.0
atrophy,atrofia,0.7649342955664246,atrofie,0.591613540628355,atrofia,0.7201617012318587,atrofia,0.7021169269576807,atrophie,0.7582424973294436,0.0
august,gusto,0.08308740417102178,gusta,0.07575318396195124,gusto,0.10434101233643261,gosto,0.1446308343003634,dégoûter,0.15484561899348184,1.0
authentic,auténtico,0.5876039415508911,autentic,0.6487885826083871,autentico,0.6391730331496567,autêntico,0.660138913355357,authentique,0.7716144883714665,1.0
autumn,otoño,0.8016115225164373,toamnă,0.6791500286182507,autunno,0.7571026122929256,outono,0.7668361614810213,automne,0.7609367108802803,1.0
avarice,avaricia,0.7039284913449485,,,avarizia,0.6956111208684378,avareza,0.6263624035618803,avarice,0.6712312762409923,1.0
avid,ávido,0.6431188389041778,avid,0.4373479817773974,avido,0.40414958382361876,ávido,0.6008932868513029,avide,0.4439238993681996,0.0
balsam,bálsamo,0.4732054245722079,balsam,0.3733419971311337,balsamo,0.2914018052320688,bálsamo,0.5106654960177385,baume,0.26018874676121934,-2.0
barb,barba,0.28059941399669697,barbă,0.27323358052235835,barba,0.18249940224071054,barba,0.20983919012228489,barbe,0.24734085122747995,1.0
bigamy,bigamia,0.7125828981441363,bigamie,0.5873142249022781,bigamia,0.6848732836480528,bigamia,0.7032882233707253,bigamie,0.6672837023304423,1.0
brave,bárbaro,0.37560500011713605,barbar,0.3207890626190213,barbaro,0.27151122649129833,bárbaro,0.4072991979926915,barbare,0.3564527182441357,0.0
bulb,bulbo,0.5544312833285636,bulb,0.4037818058863627,bulbo,0.5619455349281312,bulbo,0.585242544488026,bulbe,0.5042838710384191,0.0
camp,campo,0.33322847238294906,câmp,0.11657115285766796,campo,0.2935663766420452,campo,0.24302417294964826,champ,0.1478660984031182,0.0
cape,capa,0.19533903986425413,capă,0.16876041375283476,cappa,0.21083945289118564,capa,0.19449161426971748,cape,0.5043466469826585,0.0
capsule,cápsula,0.7339370175835975,capsulă,0.5869202467411581,capsula,0.6604968507525445,cápsula,0.7264558155733251,capsule,0.7652829262702063,0.0
card,carta,0.3513919419613779,carte,0.38592885306639696,carta,0.4497986824067291,carta,0.32153915994098015,carte,0.45518867518899503,1.0
catalog,catálogo,0.6577623906172669,catalog,0.5966997458726441,catalogo,0.7137885086261913,catálogo,0.6787141220869498,catalogue,0.7034307704141756,1.0
catholic,católico,0.7770391069952782,catolic,0.741520824955021,cattolico,0.6415363510590378,católico,0.7671841626348699,catholique,0.8287577605487318,1.0
cause,causar,0.6760849491101963,cauză,0.5513414236776207,causa,0.5459712715209999,causar,0.6649618834973808,cause,0.6544186761588683,1.0
caustic,cáustico,0.6815916135314586,caustic,0.6056364931161784,caustico,0.7133271995786147,cáustico,0.6520050354510288,caustique,0.7339820843811008,0.0
cavern,caverna,0.7240614691063681,cavernă,0.521977761700712,caverna,0.6249277082911395,caverna,0.6197064346345413,caverne,0.6119499797103923,1.0
celestial,celeste,0.5060273920116751,celest,0.5553331076707563,celeste,0.5870367890916063,celestial,0.6428623303763096,céleste,0.6858988575096628,1.0
chamberlain,chambelán,0.5205163072292989,șambelan,0.496507990728319,ciambellano,0.48775379776930444,camareiro,0.4189723411410949,chambellan,0.5202232251236136,1.0
chimera,quimera,0.5715943407701652,himeră,0.4257898865967756,chimera,0.6726093337387887,quimera,0.5527749969226138,chimère,0.6101911716854755,0.0
circuit,circuito,0.7265091443685108,circuit,0.5039275554522299,circuito,0.6728796039701337,circuito,0.6998019416721046,circuit,0.6518003907816452,1.0
circumstance,circunstancia,0.7006969696923478,circumstanță,0.5276579439830411,circostanza,0.6366911760366315,circunstância,0.7248452861782643,circonstance,0.6719351101956815,1.0
class,clase,0.6782374212302432,clasă,0.6165967167483697,classe,0.6615779518505535,classe,0.6787831986085868,classe,0.6485082875274911,0.0
classic,clásico,0.6358527812041004,clasic,0.5080983311999648,classico,0.5187340642573953,clássico,0.5790477545354523,classique,0.6141032290904039,0.0
climate,clima,0.7453301847356182,climă,0.6339589364351583,clima,0.7204634954463689,clima,0.7476317495902256,climat,0.7802536543275995,1.0
climate,clima,0.7453301847356182,climat,0.6573762735746107,clima,0.7204634954463689,clima,0.7476317495902256,climat,0.7802536543275995,1.0
cloister,claustro,0.7530360514051703,claustru,0.4839053737158016,chiostro,0.7666467427491469,claustro,0.7657883748313056,cloître,0.7839718141658807,1.0
coast,cuesta,0.13045564359594433,coastă,0.632673993210248,costa,0.6213589639801729,costa,0.648049260855894,côte,0.6603602000334475,1.0
colour,color,0.7018699644786479,culoare,0.6662622122172416,colore,0.7476905888457617,cor,0.6561935621671562,couleur,0.7417904665836997,1.0
column,columna,0.7100534389451597,coloană,0.530823218874796,colonna,0.46992370578424575,coluna,0.7071873707339628,colonne,0.6811129148417411,1.0
column,columna,0.7100534389451597,columnă,0.45965432483213403,colonna,0.46992370578424575,coluna,0.7071873707339628,colonne,0.6811129148417411,1.0
compress,comprimir,0.7782413495161636,comprima,0.6093537040193627,comprimere,0.7339938681267093,comprimir,0.7112620638067034,comprimer,0.6735784371833223,1.0
conceive,concebir,0.8183265821499159,concepe,0.5244062891846801,concepire,0.7548496613437604,conceber,0.7262234626563504,concevoir,0.6165923413937006,1.0
concept,concepto,0.8130886126507894,concept,0.7405811014540066,concetto,0.7487908865694514,conceito,0.8153480346217353,concept,0.8260211601342514,0.0
cone,cono,0.6034201757976686,con,0.3058276369344219,cono,0.5583224430755831,cone,0.5167118616369835,cône,0.6147274522007606,0.0
consort,consorte,0.7794497187428034,consort,0.5890369317573738,consorte,0.7121831169011353,consorte,0.736599791243964,consort,0.6585094482873209,0.0
converge,converger,0.6804866421929893,converge,0.542742370893362,convergere,0.6415511368081166,convergir,0.6454445170757602,converger,0.6367565582854007,0.0
convert,convertir,0.6988040494255953,converti,0.5604839425114952,convertire,0.7591074159707298,converter,0.744680506113085,convertir,0.7938901641859556,1.0
convince,convencer,0.8541877122428274,convinge,0.7645733557383204,convincere,0.8648829451500508,convencer,0.85227073204345,convaincre,0.8451606145701829,0.0
cord,cuerda,0.4155809817035887,coardă,0.4954691732842925,corda,0.5015938313318447,corda,0.4772232725317714,corde,0.481436089960664,1.0
corolla,corola,0.6029960110114234,corolă,0.517848634652107,corolla,0.5868418901767499,corola,0.5738064856323266,corolle,0.5887264069782941,0.0
correct,corregir,0.6078474017312304,corecta,0.6167018941850481,correggere,0.6608620059756252,corrigir,0.6160295678238437,corriger,0.6332424382550199,0.0
courage,coraje,0.7199052207892889,curaj,0.6343953770624498,coraggio,0.7615754597908346,coragem,0.7308891625597325,courage,0.7484803181168479,1.0
cream,crema,0.733451969553708,cremă,0.5267976868031881,crema,0.48802373793840514,creme,0.5827552749687036,crème,0.7063323916958122,1.0
crypt,cripta,0.7899024557370018,criptă,0.6159563519291026,cripta,0.767821258898202,cripta,0.7227036472843534,crypte,0.7122649751526355,0.0
crystal,cristal,0.6714309442425747,cristal,0.48740845341836364,cristallo,0.5842167996590023,cristal,0.6746857206655112,cristal,0.5571509771359061,1.0
curfew,fuego,0.2521382403590247,foc,0.22518983116180208,fuoco,0.2939590868858864,fogo,0.26824117612958137,feu,0.3409691005938723,
cycle,ciclo,0.70155057989156,ciclu,0.6287844703282041,ciclo,0.6018558596042414,ciclo,0.701668483129642,cycle,0.6509602538163906,1.0
cylinder,cilindro,0.7516740015846034,cilindru,0.6326298518542856,cilindro,0.6635940566479718,cilindro,0.6730154966699745,cylindre,0.7228010941575823,1.0
damage,daño,0.7548687725432829,daună,0.49056180078133366,danno,0.5461987709194499,dano,0.6666593969980306,dam,0.07299639012496273,1.0
damage,daño,0.7548687725432829,daună,0.49056180078133366,danno,0.5461987709194499,dano,0.6666593969980306,dommage,0.5522407325951062,1.0
dean,decano,0.5511372199889095,decan,0.47396834396815063,decano,0.45795784855604516,deão,0.42996663680152214,doyen,0.5734693649148495,1.0
decalogue,decálogo,0.58568423782044,decalog,0.5253096845223804,decalogo,0.5502766600283282,decálogo,0.5194676922365107,décalogue,0.5988792736101127,0.0
decay,decaer,0.4203142203453936,decădea,0.3728783328510676,decadere,0.48040259713007294,decair,0.5096429425688208,déchoir,0.2569625073258795,1.0
december,diciembre,0.7942867877691538,decembrie,0.8187974692044679,dicembre,0.8339307457495018,dezembro,0.8633616879063575,décembre,0.8770755173054863,1.0
dense,denso,0.7760745233271975,dens,0.47528218651042314,denso,0.6439427898326375,denso,0.6939403792018265,dense,0.7813796895671337,0.0
dense,denso,0.7760745233271975,des,0.2583443173559135,denso,0.6439427898326375,denso,0.6939403792018265,dense,0.7813796895671337,0.0
dialogue,diálogo,0.8384428600411715,dialog,0.6787101753165184,dialogo,0.7480539044772595,diálogo,0.7673946898390465,dialogue,0.7628049885087204,1.0
diameter,diámetro,0.8512303500479239,diametru,0.7969145743956999,diametro,0.8250850385440678,diâmetro,0.8105516083070282,diamètre,0.8371200567338264,1.0
diatribe,diatriba,0.6174393687231828,,,diatriba,0.4847445574304058,diatribe,0.4758574638210252,diatribe,0.7215565521889632,0.0
discern,discernir,0.7447893975583002,discerne,0.5198663307220608,discernere,0.6363951805297152,discernir,0.7180496913140642,discerner,0.767786377303409,1.0
disciple,discípulo,0.7645695974063457,discipol,0.6844515412219839,discepolo,0.8138860357839843,discípulo,0.75291101648564,disciple,0.802708237801258,1.0
dissolve,disolver,0.8015273552300984,dizolva,0.6868159471977705,dissolvere,0.6515754671118282,dissolver,0.8213511334287551,dissoudre,0.7926688578790407,0.0
distinguish,distinguir,0.7710024541244598,distinge,0.6494679206215644,distinguere,0.7998685787986567,distinguir,0.7898303830323317,distinguer,0.8271506630958082,1.0
diurnal,diurno,0.5283245003594914,diurn,0.5404511254659697,diurno,0.5235002842063398,diurno,0.523464681652044,diurne,0.6917912099965785,0.0
docile,dócil,0.6949548608864006,docil,0.4554907492467893,docile,0.6653769162678941,dócil,0.654782491431939,docile,0.666086875527107,0.0
document,documento,0.8375653671359506,document,0.722703857404095,documento,0.7747514925371564,documento,0.8256033654655812,document,0.8292884771120944,0.0
ductile,dúctil,0.6790889277391989,ductil,0.5396784104033537,duttile,0.5337173950516902,dúctil,0.6613684185818339,ductile,0.7639427577730049,1.0
duel,duelo,0.6437260978822241,duel,0.5775063033775619,duello,0.696481860026256,duelo,0.623494529013915,duel,0.7020101837533339,0.0
eagle,águila,0.620312227272123,acvilă,0.39701802609501513,aquila,0.5683481077155507,águia,0.6270243297741359,aigle,0.6064546432691088,1.0
effect,efecto,0.7626502537456391,efect,0.673197947555701,effetto,0.739126762844299,efeito,0.7322064807919426,effet,0.6541100433545748,1.0
elastic,elástico,0.783603716204625,elastic,0.6232770038809399,elastico,0.6878132701031514,elástico,0.6691081465833556,élastique,0.6918881328294793,0.0
element,elemento,0.77091476971047,element,0.6740937564355588,elemento,0.7711648254366145,elemento,0.7808875532929794,élément,0.7707325791145319,1.0
enigma,enigma,0.649864971643384,enigmă,0.4382042427822006,enigma,0.591077483496985,enigma,0.6034804360539446,énigme,0.43839949592896404,0.0
epic,épico,0.6586908415199649,epic,0.6032441423742746,epico,0.7000036168227737,épico,0.6727068080127371,épique,0.7057998750133768,0.0
epilogue,epílogo,0.7437321988777027,epilog,0.629467887908707,epilogo,0.7039083463926747,epílogo,0.7120566518389166,épilogue,0.7325651912177938,-1.0
epithet,epíteto,0.5976554527922326,epitet,0.4469156533585579,epiteto,0.6936663411241955,epíteto,0.7239418931258695,épithète,0.6991037028848559,0.0
ermine,armiño,0.517694881891901,hermină,0.41362075666985787,ermellino,0.5716150463344202,arminho,0.5324320246108379,hermine,0.5546844810664366,1.0
exemple,ejemplo,0.35319539000741174,exemplu,0.4016221089346778,esempio,0.36729874123774114,exemplo,0.33706361814352737,exemple,0.3961476695475232,
exhaustive,exhaustivo,0.688192581430287,exhaustiv,0.5716496674009309,esaustivo,0.6671936742813138,exaustivo,0.6156753185484607,exhaustif,0.591626321928355,0.0
experience,experiencia,0.836552055361099,experiență,0.7083535716557693,esperienza,0.7363330596259724,experiência,0.8090869024532653,expérience,0.7625322243974499,1.0
external,externo,0.6489394766373214,extern,0.5482499253450832,esterno,0.5183082441259357,externo,0.5679796034579839,externe,0.6784051391977631,0.0
fabric,fábrica,0.36109687921286776,fabrică,0.27552363726227597,fabbrica,0.31965009483681206,fábrica,0.32336034799575436,fabrica,0.2529660394153615,-1.0
face,faz,0.2882910123056319,față,0.41060025770188624,faccia,0.516443236066979,face,0.6049039126742303,face,0.5557445296405847,1.0
facile,fácil,0.38335755640055197,facil,0.4078637430578769,facile,0.46723974028556,fácil,0.3995870769874419,facile,0.48107737286351293,0.0
family,familia,0.8604466727811523,familie,0.6364760012291735,famiglia,0.8362220257568845,família,0.7886508858576977,familie,0.3282656865619011,0.0
family,familia,0.8604466727811523,femeie,0.23992076286410735,famiglia,0.8362220257568845,família,0.7886508858576977,familie,0.3282656865619011,0.0
fascicle,fascículo,0.6249501511079032,fascicul,0.3906446679525982,fascicolo,0.5039790759109852,fascículo,0.6146978918238055,fascicule,0.6135120626671149,0.0
feat,hacer,0.2115051902330019,face,0.1934789474527266,fare,0.17701137756470056,fazer,0.20784059417179282,faire,0.2151766428393316,
federal,federal,0.6917253371641356,federal,0.642939622177849,federale,0.6347137113225848,federal,0.7267030142186802,fédéral,0.6989924886063025,0.0
fertile,fértil,0.7741474465701786,fertil,0.6499531414236742,fertile,0.7547960359019275,fértil,0.7767683949901424,fertile,0.7568668286600583,1.0
fever,fiebre,0.7402643146721365,febră,0.5895045405580603,febbre,0.6279605793243734,febre,0.734292181039244,fièvre,0.7159932870948165,1.0
flock,fleco,0.1227989839400346,,,fiocco,0.1879417321684102,floco,0.263921252616625,floc,0.18537970012443794,1.0
fluid,fluido,0.7767003477143186,fluid,0.6872456804111365,fluido,0.7747466762498713,fluido,0.7853821493323325,fluide,0.728953830377859,-1.0
fool,fuelle,0.15509758022740788,foale,0.2645778276634082,folle,0.4262666730163946,folle,0.2096519314073204,fol,0.2812449592539448,1.0
fork,horca,0.21650102743622718,furcă,0.2663848823064968,forca,0.2735920182433317,forca,0.19462179164635252,fourche,0.4242824904099484,1.0
fortuitous,fortuito,0.5778952234971114,fortuit,0.27177638177163194,fortuito,0.5809530524750501,fortuito,0.44428407142369214,fortuit,0.5401547147286713,0.0
fossil,fósil,0.7984197845622834,fosil,0.5978484506456354,fossile,0.7430195359723683,fóssil,0.7539619376061535,fossile,0.7289240145628388,0.0
fragment,fragmento,0.7726768866170917,fragment,0.6607733143089144,frammento,0.7730653417597149,fragmento,0.7668321396975906,fragment,0.7601743919632292,0.0
frail,frágil,0.5576964296293859,fragil,0.4881449958393111,fragile,0.4894301943323652,frágil,0.5981755958522645,fragile,0.5599613676748142,1.0
frequency,frecuencia,0.7443069455765722,frecvență,0.6574498571471175,frequenza,0.7784841626725141,freqüência,0.7415188325954574,fréquence,0.7997368917458496,0.0
frontispiece,frontispicio,0.6639264809333391,frontispiciu,0.4868569216223554,frontespizio,0.6737395288458176,frontispício,0.6238246582380329,frontispice,0.7705076648169167,0.0
gangrene,gangrena,0.7152432227976068,cangrenă,0.502865013044957,,,gangrena,0.6108494391118248,gangrène,0.6607258516009965,0.0
gest,gesto,0.12034568936675931,gest,0.18037977296627014,gesto,0.08244999079419196,gesto,0.13940065528921705,geste,0.25666075309189873,
glabrous,glabro,0.7120062866346033,,,glabro,0.5422243179359679,glabro,0.6651883855543663,glabre,0.7194241098257762,0.0
globe,globo,0.5497554577036925,glob,0.48837768038123297,globo,0.5692870148336586,globo,0.49136021564080956,globe,0.7403708762641439,1.0
globule,glóbulo,0.5548650994113203,globulă,0.4929225599486756,globulo,0.6434876742729176,glóbulo,0.5618979783766388,globule,0.586237608446218,0.0
gout,gota,0.49201546683929787,gută,0.6023667769954693,gotta,0.4893396876091955,gota,0.3518111205512014,goutte,0.45197002945292913,
grammar,gramática,0.6765131039398844,gramatică,0.5781403503780683,grammatica,0.6488433146001511,gramática,0.5951369670339877,grammaire,0.6552720449202272,1.0
graphic,gráfico,0.7197914763469669,grafic,0.6236374821101184,grafico,0.6409719567761639,gráfico,0.6397977379842106,graphique,0.6708191190456424,0.0
greek,griego,0.8408139545158829,greacă,0.7582064945028892,greco,0.8104670253101792,grego,0.8481938090208111,grec,0.8159056557205803,1.0
gross,grueso,0.19683827773094018,gros,0.18442346390594067,grosso,0.21782532443486285,grosso,0.2105500754559019,grosse,0.3407459415391809,1.0
hair,crecer,0.3087509699758296,crește,0.22114851266048566,crescere,0.35239917722841446,crescer,0.2657351674379048,croître,0.23541142841048698,
harmonic,armónico,0.8051243850134998,armonic,0.6855804489796175,armonico,0.639650581383371,harmônico,0.7453887777424143,harmonique,0.7872408545427719,0.0
harmony,armonía,0.7077216393997416,armonie,0.6041859245732983,armonia,0.6543765427363002,harmonia,0.6871417391774411,harmonie,0.677850749839903,1.0
herb,hierba,0.4041475788122498,iarbă,0.3333682395228297,erba,0.3666774365982087,herva,0.26898459854680634,herbe,0.39765820801871266,1.0
hippodrome,hipódromo,0.588004540627406,hipodrom,0.4873492404781987,ippodromo,0.6261246828862351,hipódromo,0.6152638192875022,hippodrome,0.610520636618564,0.0
history,historia,0.7290839366355166,istoria,0.7046883100603771,istoria,0.345250774052698,história,0.701620328848148,histoire,0.6990487438942523,1.0
homicide,hombre,0.30291111570610313,oameni,0.20188778381364536,ome,0.1049770332617627,homem,0.2836412135152727,on,0.1409656368854916,
homicide,hombre,0.30291111570610313,oameni,0.20188778381364536,ome,0.1049770332617627,homem,0.2836412135152727,homme,0.24485879632030685,
homicide,hombre,0.30291111570610313,om,0.16753614969918823,ome,0.1049770332617627,homem,0.2836412135152727,on,0.1409656368854916,
homicide,hombre,0.30291111570610313,om,0.16753614969918823,ome,0.1049770332617627,homem,0.2836412135152727,homme,0.24485879632030685,
honest,honesto,0.7618749757605058,onest,0.6087713190088518,onesto,0.6891072079990684,honesto,0.6939720958346945,honnête,0.7657146196384529,1.0
humble,humilde,0.6179143328019915,umil,0.43277000439492325,umile,0.5977109029951522,humilde,0.6207809740717365,humble,0.6855507892710676,1.0
hyacinth,jacinto,0.2867446184955775,,,giacinto,0.38029212369654547,jacinto,0.31784497225709585,hyacinthe,0.30502309453137516,1.0
hydraulic,hidráulico,0.6720490305906378,hidraulic,0.7075845887707158,idraulico,0.6657643960386537,hidráulico,0.729421408603277,hydraulique,0.6922230994725295,0.0
identity,identidad,0.8241247449693467,identitate,0.7107633804609508,identità,0.8194654183102286,identidade,0.8480881271815294,identité,0.7311510984812668,0.0
impress,imprimir,0.3151723252621886,imprima,0.22293117279749064,imprimere,0.33387987380123973,imprimir,0.3824154105927195,imprimer,0.31467731749718825,0.0
imprint,imprimir,0.3438499520701819,imprima,0.34282073564585436,imprimere,0.24699202542906984,imprimir,0.2844228319393045,imprimer,0.34654558478047426,1.0
in,lino,0.15321452670199945,in,0.4070727584046757,lino,0.1957616400854046,linho,0.19383212748711712,lin,0.1171797795485364,
incest,incesto,0.7521021418134973,incest,0.649829867407835,incesto,0.7323252121202227,incesto,0.7357025004064427,inceste,0.7531816789249675,1.0
industry,industria,0.86158009416645,industrie,0.7050213898994344,industria,0.791144428186896,indústria,0.8254637096078207,industrie,0.8041735324383562,1.0
ingest,ingerir,0.6408183709800744,,,ingerire,0.6025928283671255,ingerir,0.660394762683681,ingérer,0.6368353412524526,0.0
insect,insecto,0.5421353552746027,insectă,0.6588802489825454,insetto,0.6959809336397785,inseto,0.5797709040146154,insecte,0.7082329110267525,0.0
insist,insistir,0.6810852926421405,insista,0.534707444937817,insistere,0.6344092594373162,insistir,0.6769385601561376,insister,0.6857406539964936,0.0
instinct,instinto,0.7344839198351019,instinct,0.564930507064003,istinto,0.6790325882148283,instinto,0.7091560924667635,instinct,0.7415540142617076,1.0
intense,intenso,0.7432331384779969,intens,0.6143567564703354,intenso,0.7116892954797293,intenso,0.7366875468379666,intense,0.7888788051636626,1.0
intern,interno,0.19727089578400017,intern,0.2405920668710997,interno,0.18530232054084705,interno,0.18643696553486247,interne,0.34710779240436795,
intime,íntimo,0.388628985309691,intim,0.33970102517219747,intimo,0.3398565656884044,íntimo,0.3853675835686613,intime,0.43997735465799725,
intrinsic,intrínseco,0.7334290744943479,intrinsec,0.6410876861133172,intrinseco,0.7592301402245661,intrínseco,0.6942315177973878,intrinsèque,0.8163953920011594,-1.0
irony,ironía,0.7884619211771877,ironie,0.644473011042777,ironia,0.7669219182674784,ironia,0.7647666465968845,ironie,0.7604700288989528,0.0
jest,gesto,0.30871368424941725,gest,0.23955687372968523,gesto,0.2665854653392842,gesto,0.30644316133616584,geste,0.26343206064591446,
legend,leyenda,0.7338462869061345,legendă,0.6605701792506758,leggenda,0.6387223175781934,lenda,0.6937859928118394,légende,0.59451963316505,1.0
legion,legión,0.7547960992589307,legiune,0.552207510863249,legione,0.6899467154444257,legião,0.7360110076808026,légion,0.6622317441585325,1.0
lieu,luego,0.18649480865390303,loc,0.20345432580259226,luogo,0.20261221367843682,logo,0.14157059414260786,lieu,0.22522017277212528,
lion,león,0.4128469347546701,leu,0.449396236161903,leone,0.5601261963267664,leão,0.5121139425953775,lion,0.7136782453457681,1.0
liquid,líquido,0.8106527443995394,lichid,0.756016417988113,liquido,0.8038386438462979,líquido,0.7451717277079376,liquide,0.8137669521471648,1.0
long,luengo,0.15208398491815822,lung,0.578655572061277,lungo,0.5837530418941387,longo,0.4443848761586101,long,0.63560451255416,0.0
mace,machuca,0.17635510201506538,măciucă,0.34267903716645737,,,,,massue,0.4837324537425084,1.0
magnanimous,magnánimo,0.5823089204961468,mărinimos,0.4969052147320663,magnanimo,0.7008424950084363,magnânimo,0.6555147928600897,magnanime,0.6550799831091821,0.0
magnificence,magnificencia,0.7941542661146506,,,magnificenza,0.7717425139222039,magnificência,0.7212338759049906,magnificence,0.7763373945017303,-1.0
malice,malicia,0.5887765252961372,,,malizia,0.5204806675174922,malícia,0.618603963625968,malice,0.546237794588763,1.0
mammal,mama,0.2679574120234305,mamă,0.21583787136347313,mamma,0.24981920433699975,,,maman,0.21927014426514216,0.0
mandible,mandíbula,0.7969131102883086,mandibulă,0.6141144504213069,mandibola,0.7569917659038105,mandíbula,0.7497082425658089,mandibule,0.7503009383498183,0.0
manuscript,maniobra,0.08170920515393039,manevră,0.10809014959813983,manovra,0.09248105415191404,manobra,0.04651220118573996,manoeuvre,0.09232997104612004,
marble,mármol,0.8275997557187788,marmură,0.7708820601017734,marmo,0.8137855743797964,mármore,0.8139720029882245,marbre,0.7706798989772687,1.0
maritime,marítimo,0.7095388929171886,maritim,0.6037180835367257,marittimo,0.6302947814708272,marítimo,0.7032184423497575,maritime,0.7338786301325073,0.0
mayor,mayor,0.18185825498284938,major,0.1827455209264286,maggiore,0.11847422825051857,maior,0.16486995095762116,majeur,0.14955561928258368,1.0
medic,médico,0.5852540932096264,medical,0.5054113755345607,medicale,0.4127721055317899,médico,0.593421297872397,médical,0.5220260873832533,
medical,médico,0.6821008610138624,medical,0.7682849120621233,medicale,0.661962175115856,médico,0.6862045957670042,médical,0.7811123146904891,0.0
